movieId,title,posterUrl,rtScore,imdbScore,rating,runtime,studio,boxOffice,releaseDate
70,300,http://resizing.flixster.com/MqZzDrxTe4GO7kHb2bo-16W9Wo8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166714_ori.jpg,6.1,7.8,R,117,Warner Bros. / Legendary,"$456,068,181.00 ",09-Mar-07
71,Harry Potter and the Order of the Phoenix,http://resizing.flixster.com/O5pmr1P4sAe4L0G6SUFYlLGiKec=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168876_ori.jpg,6.9,7.4,PG-13,138,Warner Bros.,"$939,885,929.00 ",11-Jul-07
72,I Am Legend,http://resizing.flixster.com/-P1B68zFT7N17v-6cy5Bep7DU3A=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166780_ori.jpg,6.4,7.2,PG-13,101,Warner Bros.,"$585,349,010.00 ",14-Dec-07
73,National Treasure: Book of Secrets,http://resizing.flixster.com/MDARF9TZB345ZZGLsmNCi0SoReI=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/10/10/43/10104317_ori.jpg,4.8,6.5,PG,124,Disney,"$457,364,600.00 ",21-Dec-07
74,Pirates of the Caribbean: At World's End,http://resizing.flixster.com/M2Ku83KAglImISwK7qTuXAgQtWo=/180x252/dkpu1ddg7pbsk.cloudfront.net/movie/10/95/55/10955508_ori.jpg,5.5,7.1,PG-13,169,Disney,"$963,420,425.00 ",25-May-07
75,Ratatouille,http://resizing.flixster.com/8S8STXVMHBpUANLhLeLbVcdo0QY=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/41/60/98/4160984_ori.jpg,8.5,8,G,111,Disney / Pixar,"$623,707,397.00 ",29-Jun-07
76,Shrek the Third,http://resizing.flixster.com/7T7Mf9iNihk3sOMASXbEg5Hnd2Q=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/59/86/40/5986403_ori.jpg,5.4,6.1,PG,93,DreamWorks / Paramount,"$798,958,162.00 ",18-May-07
77,Spider-Man 3,http://resizing.flixster.com/QeTUzkp6yGhLMqZRwZ4ygqobQl0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/52/11165292_ori.jpg,6.2,6.2,PG-13,139,Columbia,"$890,871,626.00 ",04-May-07
78,The Simpsons Movie,http://resizing.flixster.com/Vj9BYtnUOcPSdQRrFT8aeJqpinI=/180x265/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/37/10843725_ori.jpg,7.6,7.4,PG-13,87,Fox,"$527,071,022.00 ",27-Jul-07
79,Transformers,http://resizing.flixster.com/JZvkeqWLNeqakvkeY4aTklBQV1o=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169794_ori.jpg,5.8,7.2,PG-13,144,DreamWorks / Paramount,"$709,709,780.00 ",03-Jul-07
